System, Training Points, Seed, Smooth, Surmise, Scikit-learn
AuAu200, 50, 90929, 0.07952, 0.01105, 0.05371
PbPb2760, 50, 90929, 0.12855, 0.04396, 0.10093
PbPb5020, 50, 90929, 0.14211, 0.04964, 0.10979
AuAu200, 60, 90929, 0.06764, 0.00617, 0.08962
PbPb2760, 60, 90929, 0.11808, 0.03005, 0.20215
PbPb5020, 60, 90929, 0.13119, 0.03280, 0.21788
AuAu200, 70, 90929, 0.03879, 0.00177, 0.04750
PbPb2760, 70, 90929, 0.05253, 0.00748, 0.09401
PbPb5020, 70, 90929, 0.05783, 0.00929, 0.10285
AuAu200, 80, 90929, 0.03073, 0.00523, 0.04323
PbPb2760, 80, 90929, 0.05519, 0.02206, 0.09283
PbPb5020, 80, 90929, 0.06578, 0.02933, 0.10537
AuAu200, 90, 90929, 0.01990, 0.00357, 0.06601
PbPb2760, 90, 90929, 0.02742, 0.00535, 0.10040
PbPb5020, 90, 90929, 0.03036, 0.00486, 0.10593
AuAu200, 100, 90929, 0.02142, 0.00426, 0.06656
PbPb2760, 100, 90929, 0.03660, 0.00611, 0.10764
PbPb5020, 100, 90929, 0.04030, 0.00719, 0.11296
