System, Training Points, Seed, Smooth, Surmise, Scikit-learn
AuAu200, 50, 90929, 0.02667, 0.02195, 0.05566
PbPb2760, 50, 90929, 0.07382, 0.04657, 0.08361
PbPb5020, 50, 90929, 0.08382, 0.04444, 0.08666
AuAu200, 60, 90929, 0.02929, 0.01894, 0.05806
PbPb2760, 60, 90929, 0.11230, 0.03864, 0.12740
PbPb5020, 60, 90929, 0.12650, 0.03697, 0.16076
AuAu200, 70, 90929, 0.03077, 0.00658, 0.05271
PbPb2760, 70, 90929, 0.07283, 0.01339, 0.08762
PbPb5020, 70, 90929, 0.08309, 0.01620, 0.09314
AuAu200, 80, 90929, 0.03153, 0.00688, 0.05547
PbPb2760, 80, 90929, 0.04398, 0.01571, 0.07753
PbPb5020, 80, 90929, 0.04865, 0.01917, 0.07984
AuAu200, 90, 90929, 0.01828, 0.00538, 0.04063
PbPb2760, 90, 90929, 0.02805, 0.01966, 0.07314
PbPb5020, 90, 90929, 0.03230, 0.01543, 0.08119
AuAu200, 100, 90929, 0.03355, 0.00627, 0.06243
PbPb2760, 100, 90929, 0.07452, 0.00861, 0.09020
PbPb5020, 100, 90929, 0.08076, 0.01240, 0.09259
