walker	A	B	C	D	E	log_l	log_p
0	1.692987159e+00	1.469319005e+00	-7.058624206e-01	1.240598363e-01	-3.724515609e-01	2.126115355e+01	4.082199452e-02
1	1.698543776e+00	1.470048633e+00	-7.162149073e-01	1.236507182e-01	-3.661744091e-01	2.138523350e+01	4.082199452e-02
2	1.732571915e+00	1.474516799e+00	-7.796124506e-01	1.211453217e-01	-3.277337895e-01	2.219220750e+01	4.082199452e-02
3	1.689015862e+00	1.481398537e+00	-8.160288168e-01	1.194889007e-01	-2.948428266e-01	2.321472708e+01	4.082199452e-02
4	1.790102300e+00	1.495017027e+00	-9.265665986e-01	1.186120839e-01	-2.432517273e-01	2.284572351e+01	4.082199452e-02
5	1.792030884e+00	1.493603110e+00	-9.250382812e-01	1.182508361e-01	-2.435831414e-01	2.289166782e+01	4.082199452e-02
6	1.790102300e+00	1.495017027e+00	-9.265665986e-01	1.186120839e-01	-2.432517273e-01	2.284572351e+01	4.082199452e-02
7	1.813212460e+00	1.496056532e+00	-9.406037466e-01	1.202788493e-01	-2.464671130e-01	2.241690910e+01	4.082199452e-02
8	1.805078409e+00	1.484037481e+00	-9.146986942e-01	1.158068719e-01	-2.458252704e-01	2.314775723e+01	4.082199452e-02
9	1.928578653e+00	1.469077153e+00	-9.383842815e-01	1.135265571e-01	-2.506583338e-01	2.211322785e+01	4.082199452e-02
10	1.862090997e+00	1.476988366e+00	-9.240853836e-01	1.144832688e-01	-2.476906257e-01	2.274971710e+01	4.082199452e-02
11	1.805078409e+00	1.484037481e+00	-9.146986942e-01	1.158068719e-01	-2.458252704e-01	2.314775723e+01	4.082199452e-02
12	1.870503668e+00	1.483433033e+00	-9.253875858e-01	1.167206545e-01	-2.527253938e-01	2.243200847e+01	4.082199452e-02
13	2.050731809e+00	1.457434281e+00	-9.499881920e-01	1.091730385e-01	-2.496677539e-01	2.112154896e+01	4.082199452e-02
14	1.805078409e+00	1.484037481e+00	-9.146986942e-01	1.158068719e-01	-2.458252704e-01	2.314775723e+01	4.082199452e-02
15	1.805078409e+00	1.484037481e+00	-9.146986942e-01	1.158068719e-01	-2.458252704e-01	2.314775723e+01	4.082199452e-02
16	1.814561295e+00	1.477085222e+00	-9.071839263e-01	1.140306092e-01	-2.474548403e-01	2.327383458e+01	4.082199452e-02
17	1.814310974e+00	1.477268742e+00	-9.073822948e-01	1.140774975e-01	-2.474118243e-01	2.327115322e+01	4.082199452e-02
18	1.821183535e+00	1.481458680e+00	-9.085350135e-01	1.148587107e-01	-2.395385928e-01	2.318473975e+01	4.082199452e-02
19	1.724131404e+00	1.486633416e+00	-8.680886798e-01	1.098352851e-01	-2.283131441e-01	2.428907780e+01	4.082199452e-02
20	1.701684874e+00	1.491039974e+00	-8.728617135e-01	1.122351867e-01	-2.309499461e-01	2.415100741e+01	4.082199452e-02
21	1.628953399e+00	1.507693824e+00	-9.139584130e-01	1.185846153e-01	-2.286205855e-01	2.345194937e+01	4.082199452e-02
22	1.725715840e+00	1.546742642e+00	-9.966002235e-01	1.120964246e-01	-2.021539871e-01	2.125595423e+01	4.082199452e-02
23	1.619021152e+00	1.509027880e+00	-9.139166662e-01	1.187412610e-01	-2.276503589e-01	2.341176487e+01	4.082199452e-02
24	1.604873160e+00	1.485887127e+00	-8.819900389e-01	1.130106419e-01	-2.247104756e-01	2.452271654e+01	4.082199452e-02
25	1.599501223e+00	1.481780562e+00	-8.818722450e-01	1.109771028e-01	-2.208788294e-01	2.473192287e+01	4.082199452e-02
26	1.598330479e+00	1.489558123e+00	-8.881806565e-01	1.146195748e-01	-2.270527121e-01	2.435512270e+01	4.082199452e-02
27	1.455268487e+00	1.502771884e+00	-8.663058422e-01	1.166041919e-01	-2.196910029e-01	2.339320429e+01	4.082199452e-02
28	1.599268211e+00	1.481139795e+00	-8.816240073e-01	1.107167483e-01	-2.203893270e-01	2.475930149e+01	4.082199452e-02
29	1.626384612e+00	1.491294103e+00	-8.683935833e-01	1.171070567e-01	-2.475473993e-01	2.413378878e+01	4.082199452e-02
30	1.591751827e+00	1.483723029e+00	-8.895926068e-01	1.127861956e-01	-2.228540356e-01	2.459909314e+01	4.082199452e-02
31	1.479023112e+00	1.519347858e+00	-8.678590097e-01	1.246119467e-01	-2.407251494e-01	2.273355143e+01	4.082199452e-02
32	1.609452682e+00	1.509146405e+00	-8.924739820e-01	1.220963187e-01	-2.417844953e-01	2.333955735e+01	4.082199452e-02
33	1.605116086e+00	1.510141426e+00	-8.967311263e-01	1.230672825e-01	-2.428176102e-01	2.324655117e+01	4.082199452e-02
34	1.609452682e+00	1.509146405e+00	-8.924739820e-01	1.220963187e-01	-2.417844953e-01	2.333955735e+01	4.082199452e-02
35	1.556639309e+00	1.485372922e+00	-8.486423887e-01	1.250558517e-01	-2.541634439e-01	2.375339796e+01	4.082199452e-02
36	1.609452682e+00	1.509146405e+00	-8.924739820e-01	1.220963187e-01	-2.417844953e-01	2.333955735e+01	4.082199452e-02
37	1.609452682e+00	1.509146405e+00	-8.924739820e-01	1.220963187e-01	-2.417844953e-01	2.333955735e+01	4.082199452e-02
38	1.602908341e+00	1.513244512e+00	-8.971132170e-01	1.230054076e-01	-2.434764922e-01	2.318821554e+01	4.082199452e-02
39	1.600980977e+00	1.513820174e+00	-8.988597887e-01	1.230330566e-01	-2.422240629e-01	2.315380309e+01	4.082199452e-02
40	1.618161915e+00	1.507148092e+00	-8.839243132e-01	1.201463216e-01	-2.397096796e-01	2.351769311e+01	4.082199452e-02
41	1.622485471e+00	1.506156063e+00	-8.796799698e-01	1.191782774e-01	-2.386796712e-01	2.360189825e+01	4.082199452e-02
42	1.618161915e+00	1.507148092e+00	-8.839243132e-01	1.201463216e-01	-2.397096796e-01	2.351769311e+01	4.082199452e-02
43	1.628597170e+00	1.505857863e+00	-8.856423987e-01	1.199040569e-01	-2.400511035e-01	2.354659172e+01	4.082199452e-02
44	1.591205758e+00	1.509049954e+00	-8.772390187e-01	1.203868535e-01	-2.391543709e-01	2.349149783e+01	4.082199452e-02
45	1.440717994e+00	1.440759258e+00	-7.277609618e-01	1.278288538e-01	-2.968652191e-01	2.358164410e+01	4.082199452e-02
46	1.409354294e+00	1.419073845e+00	-7.264056040e-01	1.333093458e-01	-2.886856404e-01	2.321693717e+01	4.082199452e-02
47	1.360177551e+00	1.403002346e+00	-6.862129966e-01	1.391595245e-01	-3.063704435e-01	2.249566574e+01	4.082199452e-02
48	1.409354294e+00	1.419073845e+00	-7.264056040e-01	1.333093458e-01	-2.886856404e-01	2.321693717e+01	4.082199452e-02
49	1.465382677e+00	1.444294537e+00	-7.729054424e-01	1.301696515e-01	-2.755531242e-01	2.359816314e+01	4.082199452e-02
0	1.725029693e+00	1.477797907e+00	-7.786823863e-01	1.222623844e-01	-3.298228823e-01	2.219638567e+01	4.082199452e-02
1	1.745668356e+00	1.445923160e+00	-6.020678463e-01	1.261749271e-01	-4.511464791e-01	1.949107321e+01	4.082199452e-02
